,created_at,full_text,cleaned_text,retweeted_count,favorite_count,user
62,Thu Apr 09 08:52:09 +0000 2020,Liège ou encore Bruxelles: plusieurs villes ont recours à des camions frigorifiques pour abriter les morts du Covid-19 : https://t.co/IZpCmUDI6i via @sudpresseonline,Liege ou encore Bruxelles plusieurs villes ont recours a des camions frigorifiques pour abriter les morts du Covid-19 via sudpresseonline,0,0,moncoeur1971
63,Thu Apr 09 08:07:56 +0000 2020,Gardez bien vos bons pour l'après confinement et en attendant... payez ! https://t.co/v6V1PTUDA4 (depuis la parution les prix ont été actualisés sur le site) #Poubelles #Bons #Liege #TodayinLiege,Gardez bien vos bons pour l'apres confinement et en attendant payez (depuis la parution les prix ont ete actualises sur le site) Poubelles Bons Liege TodayinLiege,0,0,LudiBellule
64,Thu Apr 09 07:38:57 +0000 2020,"Place2business est une plateforme créée par la SPI afin de multiplier les bons plans à l’échelle de notre territoire. 

Testez Place2business : https://t.co/io5FxImFpO

https://t.co/K26ytK2nu6",Place2business est une plateforme creee par la SPI afin de multiplier les bons plans a l'echelle de notre territoire Testez Place2business,1,3,SPI_Liege
65,Thu Apr 09 05:59:58 +0000 2020,"« Bilan et perspectives du @rfcliege »
Le président Jean-Paul Lacomble est à l’interview sur #rfclTV
📺 https://t.co/2oziJqlQIi
#RFCLiège #Liège @EersteAmateur @YouTube",<< Bilan et perspectives du rfcliege >> Le president Jean-Paul Lacomble est a l'interview sur rfclTV RFCLiege Liege EersteAmateur YouTube,1,2,JOHAN_1892
66,Thu Apr 09 00:19:25 +0000 2020,"@SirknightMonado C'était le genre de mec quand je debutais à smash pour ""m'apprendre"" il me disait que j'étais une merde au jeu into changer les settings a 5 stock et puis me 5 stock dans pitié tout ça a 3h du mat pour me laisser reprendre mon train vers Liege tout seul dans la honte

True Story","SirknightMonado C'etait le genre de mec quand je debutais a smash pour ""m'apprendre"" il me disait que j'etais une merde au jeu into changer les settings a 5 stock et puis me 5 stock dans pitie tout ca a 3h du mat pour me laisser reprendre mon train vers Liege tout seul dans la honte True Story",0,3,Sacha_SSB
67,Wed Apr 08 23:55:23 +0000 2020,"@Lommel_rsca_po2 @ABraeckman Sauf à Liège... En effet.
Le standard est autant liégeois que la Juve est italienne... Pas vraiment de quoi en être fier",Lommel rsca po2 ABraeckman Sauf a Liege En effet Le standard est autant liegeois que la Juve est italienne Pas vraiment de quoi en etre fier,0,0,progmushroom
68,Wed Apr 08 22:46:40 +0000 2020,"@Lommel_rsca_po2 @ABraeckman Tracasse.
Nos ""unes""
https://t.co/nzp8QnTE49

Vos unes
https://t.co/C2ylYKqaxD","Lommel rsca po2 ABraeckman Tracasse Nos ""unes"" Vos unes",0,0,progmushroom
69,Wed Apr 08 20:23:13 +0000 2020,"@Gregspurs13 😂😂😂, merde alors,  me disais qu’il fallait juste attendre 1 an , le temps qu’ils remontent en D1A pour affronter le Fc liège ❤️💙😂","Gregspurs13 , merde alors, me disais qu'il fallait juste attendre 1 an , le temps qu'ils remontent en D1A pour affronter le Fc liege []",0,2,rmance11
70,Wed Apr 08 20:11:49 +0000 2020,"“ #COVID19 : Je fais don de la totalité de mon émolument du mois de mars de Président de la Société de Logements du Plateau, à la fondation Léon Frederick qui renforce son soutien au #CHU de Liège dans la lutte contre le #Coronavirus @FondationLeon @CHULiege @juliencompere",""" COVID19 Je fais don de la totalite de mon emolument du mois de mars de President de la Societe de Logements du Plateau, a la fondation Leon Frederick qui renforce son soutien au CHU de Liege dans la lutte contre le Coronavirus FondationLeon CHULiege juliencompere",16,24,Patrice4020
71,Wed Apr 08 19:54:07 +0000 2020,Putainnnn de que j'ai la date de fin de confinement!! Je vais annoncer un show tellement lourd sur liège 🙌🏾,Putainnnn de que j'ai la date de fin de confinement Je vais annoncer un show tellement lourd sur liege,0,6,Pablobylamar
